State,Total offenses,Murder,Rape,Aggravated assault,Simple assault,Intimidation,Other3,Robbery,Burglary,Larceny- theft,Motor vehicle theft,Arson,Destruction-damage-vandalism,Other2,Crimes against society
Alabama,12,0,0,0,2,8,0,0,0,0,0,0,2,0,0
Alaska,9,0,0,2,3,1,0,1,0,0,0,0,2,0,0
Arizona,220,0,0,34,39,64,0,4,3,1,1,2,71,0,1
Arkansas,109,0,0,10,30,30,1,1,3,9,3,1,20,1,0
California,1761,2,2,279,338,485,0,45,12,13,2,9,574,0,0
Colorado,190,1,0,33,41,62,0,7,1,5,0,1,37,2,0
Connecticut,194,0,0,5,33,83,1,1,2,3,0,1,65,0,0
Delaware,72,0,1,10,7,23,0,3,1,0,0,0,26,0,1
District of Columbia,48,0,0,10,18,10,0,3,1,1,0,1,4,0,0
Florida,182,0,0,45,37,36,0,2,3,0,0,0,59,0,0
Georgia,11,0,0,0,3,3,0,0,1,0,0,0,4,0,0
Idaho,44,0,0,7,15,9,0,0,0,1,0,0,11,1,0
Illinois,141,0,1,16,29,45,0,1,2,0,0,3,44,0,0
Indiana,72,0,0,10,26,21,0,0,1,0,0,0,14,0,0
Iowa,36,0,0,1,10,6,1,1,0,0,0,0,17,0,0
Kansas,131,0,1,18,32,32,0,0,4,3,0,3,35,2,1
Kentucky,71,0,0,9,8,32,0,1,0,0,0,2,19,0,0
Louisiana,76,0,0,15,25,14,1,1,2,9,1,1,6,1,0
Maine,74,0,0,2,13,36,0,1,1,0,0,0,20,0,1
Maryland,105,1,0,13,13,1,0,0,2,2,0,0,73,0,0
Massachusetts,386,0,1,36,78,143,0,5,4,7,1,0,109,1,1
Michigan,659,0,1,66,130,240,0,5,25,47,4,4,130,4,3
Minnesota,195,0,1,28,85,27,0,0,0,1,0,0,53,0,0
Mississippi,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Missouri,126,0,0,26,27,37,0,1,4,0,0,1,30,0,0
Montana,28,0,0,6,12,0,0,0,0,0,0,0,10,0,0
Nebraska,12,0,0,1,3,3,0,0,1,0,0,0,4,0,0
Nevada,102,0,0,25,15,11,0,6,3,0,0,0,42,0,0
New Hampshire,90,0,0,2,15,54,1,0,1,0,0,0,16,1,0
New Jersey,744,0,0,15,37,337,0,1,3,2,0,1,348,0,0
New Mexico,10,0,0,2,5,3,0,0,0,0,0,0,0,0,0
New York,586,2,0,30,120,108,0,10,9,10,1,1,295,0,0
North Carolina,183,0,1,27,22,85,0,1,1,2,1,0,43,0,0
North Dakota,20,0,0,1,5,6,0,0,1,3,0,0,4,0,0
Ohio,415,0,0,28,79,158,1,7,10,28,1,5,90,5,3
Oklahoma,58,1,1,4,9,23,0,0,0,0,0,0,20,0,0
Oregon,217,0,0,25,32,59,1,1,6,4,0,2,85,0,2
Pennsylvania,83,0,0,9,15,38,0,0,0,0,0,2,19,0,0
Rhode Island,37,0,0,0,5,4,0,1,1,5,3,0,17,0,1
South Carolina,181,0,1,25,24,43,3,4,9,19,4,2,42,5,0
South Dakota,49,0,0,6,20,2,0,0,1,1,0,0,18,1,0
Tennessee,299,0,0,44,56,67,4,6,15,9,1,2,90,4,1
Texas,278,0,0,40,54,52,0,8,9,3,0,3,109,0,0
Utah,56,0,0,11,18,9,0,0,1,2,0,0,14,1,0
Vermont,25,0,0,5,8,3,0,0,0,0,1,0,8,0,0
Virginia,295,0,0,11,80,36,1,4,9,17,0,3,132,1,1
Washington,314,0,0,16,61,130,0,1,2,2,1,1,98,0,2
West Virginia,47,0,0,1,14,5,1,3,3,8,0,1,10,1,0
Wisconsin,98,0,0,8,26,14,1,9,1,7,1,1,29,1,0
Wyoming,12,0,0,8,1,1,0,0,0,0,0,0,2,0,0
1Includes additional offenses collected in the NIBRS.  See Methodology.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
