State,Total offenses,Murder,Rape1,Rape2,Aggravated assault,Simple assault,Intimidation,Other3,Robbery,Burglary,Larceny- theft,Motor vehicle theft,Arson,Destruction-damage-vandalism,Other2,Crimes against society
Total,6418,4,9,0,770,1514,1745,6,122,162,239,22,26,1694,52,53
Alabama,10,0,0,0,0,2,5,0,0,1,0,0,0,2,0,0
Alaska,7,0,0,0,1,4,0,0,1,0,0,0,0,1,0,0
Arizona,304,0,0,0,45,70,104,1,3,1,3,0,0,76,0,1
Arkansas,16,0,0,0,6,2,7,0,0,0,0,0,0,1,0,0
California,943,1,0,0,187,202,237,0,28,10,7,0,5,266,0,0
Colorado,129,0,2,0,34,22,39,0,4,1,0,0,0,23,2,2
Connecticut,144,0,0,0,3,20,66,0,3,1,10,2,0,38,0,1
Delaware,18,0,0,0,2,3,7,1,0,0,0,0,0,5,0,0
District of Columbia,87,0,1,0,18,31,19,0,2,0,0,0,0,16,0,0
Florida,72,1,0,0,15,23,6,0,1,2,2,0,0,22,0,0
Georgia,50,0,0,0,3,10,32,0,2,0,0,0,0,3,0,0
Idaho,40,0,0,0,14,11,11,0,1,0,0,0,0,3,0,0
Illinois,136,0,0,0,30,31,40,0,2,1,4,0,0,28,0,0
Indiana,60,1,2,0,3,15,21,0,0,1,0,0,0,15,0,2
Iowa,12,0,0,0,0,5,1,0,1,1,0,0,0,4,0,0
Kansas,86,0,1,0,8,19,21,0,0,3,7,1,0,25,1,0
Kentucky,199,0,0,0,13,35,54,0,6,16,11,1,2,42,5,14
Louisiana,11,0,0,0,0,7,2,0,0,0,1,0,0,1,0,0
Maine,34,0,0,0,4,7,16,0,0,0,1,0,0,6,0,0
Maryland,18,0,0,0,4,5,2,0,2,0,1,0,0,4,0,0
Massachusetts,418,0,0,0,45,80,106,1,7,11,32,2,1,116,11,6
Michigan,354,0,0,0,33,78,129,0,4,28,8,1,3,66,3,1
Minnesota,117,0,0,0,13,27,43,0,3,1,0,0,0,30,0,0
Mississippi,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Missouri,106,0,0,0,27,18,30,0,1,2,0,0,0,27,0,1
Montana,43,0,0,0,11,9,3,0,0,1,8,1,0,8,2,0
Nebraska,61,0,0,0,3,15,21,0,1,1,0,0,0,19,1,0
Nevada,29,0,0,0,6,13,1,0,5,0,0,0,0,4,0,0
New Hampshire,22,0,0,0,0,5,10,0,0,1,0,0,0,5,1,0
New Jersey,347,0,0,0,5,11,190,0,2,3,1,0,0,135,0,0
New Mexico,13,0,0,0,4,2,3,0,0,1,0,0,1,2,0,0
New York,558,0,0,0,33,221,1,0,0,20,10,0,4,269,0,0
North Carolina,186,0,0,0,21,42,65,0,2,2,2,1,0,51,0,0
North Dakota,51,0,0,0,5,19,17,0,0,0,2,1,0,7,0,0
Ohio,474,0,0,0,31,89,172,0,17,15,44,7,0,91,8,0
Oklahoma,37,0,0,0,3,8,15,0,0,0,1,0,2,8,0,0
Oregon,38,0,0,0,3,9,14,0,0,0,2,0,0,9,0,1
Pennsylvania,58,0,0,0,5,11,25,0,1,1,6,0,3,6,0,0
Rhode Island,5,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0
South Carolina,60,0,0,0,12,16,7,2,1,2,2,0,0,10,0,8
South Dakota,18,0,0,0,2,9,2,0,0,0,0,0,0,5,0,0
Tennessee,220,1,1,0,35,79,33,1,4,2,9,1,2,50,1,1
Texas,165,0,0,0,24,60,34,0,6,1,2,0,0,38,0,0
Utah,58,0,1,0,0,7,1,0,0,5,8,1,0,20,4,11
Vermont,15,0,0,0,0,3,0,0,0,1,4,0,0,7,0,0
Virginia,131,0,0,0,8,43,26,0,3,2,5,0,0,44,0,0
Washington,367,0,1,0,44,89,90,0,8,19,36,3,1,66,10,0
West Virginia,28,0,0,0,1,7,1,0,0,1,7,0,1,8,1,1
Wisconsin,62,0,0,0,6,18,16,0,1,2,3,0,1,10,2,3
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
