STATE,TOTAL_OFFENSES,POPULATION
Alabama,10,4779735
Alaska,12,710231
Arizona,274,6329013
Arkansas,85,2915921
California,1285,37253956
Colorado,269,5029196
Connecticut,222,3574097
Delaware,44,897934
District of Columbia,41,601723
Florida,147,18801311
Georgia,12,9687653
Idaho,42,1360301
Illinois,178,1567582
Indiana,68,12830632
Iowa,19,6483800
Kansas,143,3046350
Kentucky,176,2853118
Louisiana,21,4339362
Maine,56,4515770
Maryland,107,1328361
Massachusetts,382,5773552
Michigan,409,6547629
Minnesota,189,9883635
Mississippi,2,5303925
Missouri,167,2967297
Montana,31,5988927
Nebraska,82,989415
Nevada,64,1826341
New Hampshire,27,2700551
New Jersey,549,1316472
New Mexico,18,8791894
New York,648,2059180
North Carolina,125,19378104
North Dakota,14,9535475
Ohio,342,672591
Oklahoma,68,11536502
Oregon,167,3751354
Pennsylvania,53,3831074
Rhode Island,38,12702379
South Carolina,146,1052567
South Dakota,58,4625364
Tennessee,185,814180
Texas,185,6346110
Utah,54,25145561
Vermont,28,2763885
Virginia,170,625741
Washington,272,8001024
West Virginia,27,6724540
Wisconsin,61,1852996
Wyoming,17,584910
