,""id","order","score","weight","color","label", "total"
"FIS",1.4,59,0.5,"#9E0041","Murder",5479
"MAR",1.9,24,0.5,"#C32F4B","Rape",5479
"AO",2,599,1,"#E1514B","Aggravated Assault",5479
"CP",5,122,1,"#FEC574","Robbery",5479
"TR",6,162,1,"#FAE38C","Burglary",5479
"CS",4,1378,1,"#FB9F59","Intimidation",5479
"LIV",7.239,77,0.5,"#EAF195","Larceny",5479
"ECO",7.22,88,0.5,"#C7E89E","Motor Theft",5479
"ICO",8.26,60,0.5,"#9CD6A4","Arson",5479
"NP",3,1307,1,"#F47245","Simple Assault",5479
"LSP",8.1694,65,0.5,"#6CC4A4","Vandalism",5479
"CW",9,58,1,"#4D9DB4","Other",5479
"HAB",10.53,88,0.5,"#4776B4","Crimes Against Society",5479
