"id","order","score","weight","color","label","total"
"FIS",1.8,59,0.5,"#9E0041","Murder",5850
"MAR",1.13,24,0.5,"#C32F4B","Rape",5850
"AO",2,681,1,"#E1514B","Aggravated Assault",5850
"CP",5,120,1,"#FEC574","Robbery",5850
"TR",6,147,1,"#FAE38C","Burglary",5850
"CS",4,1495,1,"#FB9F59","Intimidation",5850
"LIV",7.255,77,0.5,"#EAF195","Larceny",5850
"ECO",7.22,88,0.5,"#C7E89E","Motor Theft",5850
"ICO",8.30,60,0.5,"#9CD6A4","Arson",5850
"NP",3,1436,1,"#F47245","Simple Assault",5850
"LSP",8, 1698,0.5,"#6CC4A4","Vandalism",5850
"CW",9,79,1,"#4D9DB4","Other",5850
"HAB",10.65,88,0.5,"#4776B4","Crimes Against Society",5850
